,type,wg_size,attempt,wg_idx,true_val,exec_time,makespan,peak_resource_usage
0,basic,120,0,0,105,531.3786084651947,111,48
1,our,120,0,0,105,536.075852394104,110,48
2,basic,120,0,1,109,528.1069345474243,117,51
3,our,120,0,1,109,533.1077382564545,112,51
4,basic,120,0,2,125,530.321897983551,128,53
5,our,120,0,2,125,526.5696842670441,127,54
6,basic,120,0,3,97,532.5593938827515,102,50
7,our,120,0,3,97,534.0324637889862,102,50
8,basic,120,0,4,112,534.8947801589966,115,51
9,our,120,0,4,112,530.5747773647308,114,52
10,basic,120,0,5,84,540.3170437812805,86,52
11,our,120,0,5,84,536.3578014373779,85,52
12,basic,120,0,6,117,523.1047513484955,123,47
13,our,120,0,6,117,526.0428230762482,120,48
14,basic,120,0,7,109,525.454852104187,112,50
15,our,120,0,7,109,527.1894915103912,112,50
16,basic,120,0,8,112,529.172815322876,119,51
17,our,120,0,8,112,525.403548002243,122,51
18,basic,120,0,9,108,535.8753509521484,112,52
19,our,120,0,9,108,531.4551341533661,110,52
20,basic,120,0,10,87,537.5519626140594,90,67
21,our,120,0,10,87,538.1585614681244,88,67
22,basic,120,0,11,75,540.2223398685455,77,65
23,our,120,0,11,75,540.9284405708313,77,65
24,basic,120,0,12,92,542.2711641788483,94,68
25,our,120,0,12,92,540.2710983753204,93,68
26,basic,120,0,13,95,528.6749467849731,98,58
27,our,120,0,13,95,528.5980429649353,98,58
28,basic,120,0,14,103,528.0568935871124,107,59
29,our,120,0,14,103,533.8999044895172,107,59
30,basic,120,0,15,92,535.1414713859558,92,66
31,our,120,0,15,92,534.855813741684,92,66
32,basic,120,0,16,90,302.7544684410095,94,62
33,our,120,0,16,90,302.74809861183167,92,62
34,basic,120,0,17,83,301.12639570236206,85,63
35,our,120,0,17,83,301.603924036026,85,63
36,basic,120,0,18,94,296.4713804721832,99,61
37,our,120,0,18,94,298.6997220516205,97,61
38,basic,120,0,19,96,305.12101340293884,103,68
39,our,120,0,19,96,305.6022696495056,99,69
40,basic,120,0,20,80,531.8639008998871,83,79
41,our,120,0,20,80,537.283353805542,83,79
42,basic,120,0,21,88,523.2983827590942,88,67
43,our,120,0,21,88,527.6627883911133,88,69
44,basic,120,0,22,100,486.4142200946808,100,83
45,our,120,0,22,100,529.694338798523,100,83
46,basic,120,0,23,71,540.7294502258301,71,85
47,our,120,0,23,71,540.3276016712189,72,86
48,basic,120,0,24,84,527.2588658332825,86,83
49,our,120,0,24,84,527.7745189666748,84,84
50,basic,120,0,25,102,526.9193150997162,102,80
51,our,120,0,25,102,531.0667636394501,102,81
52,basic,120,0,26,93,525.2102961540222,93,76
53,our,120,0,26,93,528.8775398731232,93,77
54,basic,120,0,27,77,540.7633483409882,77,74
55,our,120,0,27,77,541.7054738998413,77,73
56,basic,120,0,28,86,301.05671739578247,86,79
57,our,120,0,28,86,305.35901641845703,86,79
58,basic,120,0,29,103,522.1222946643829,103,75
59,our,120,0,29,103,526.1992664337158,103,74
60,basic,120,0,30,74,530.2273557186127,74,89
61,our,120,0,30,74,532.8060064315796,74,89
62,basic,120,0,31,107,324.1513743400574,107,83
63,our,120,0,31,107,291.16784620285034,107,84
64,basic,120,0,32,95,533.9681658744812,95,75
65,our,120,0,32,95,533.8061389923096,95,75
66,basic,120,0,33,75,542.4519793987274,75,84
67,our,120,0,33,75,542.0759797096252,75,85
68,basic,120,0,34,74,545.1737384796143,74,86
69,our,120,0,34,74,548.5850794315338,74,86
70,basic,120,0,35,90,531.8953919410706,90,79
71,our,120,0,35,90,537.6223790645599,90,81
72,basic,120,0,36,81,305.0402100086212,81,92
73,our,120,0,36,81,304.6065092086792,81,92
74,basic,120,0,37,90,298.74739170074463,90,90
75,our,120,0,37,90,299.37764501571655,90,90
76,basic,120,0,38,79,301.14258337020874,79,82
77,our,120,0,38,79,300.46145248413086,79,83
78,basic,120,0,39,77,304.23157143592834,77,99
79,our,120,0,39,77,302.05560183525085,77,99
80,basic,120,0,40,92,528.8264029026031,92,95
81,our,120,0,40,92,536.6476430892944,92,94
82,basic,120,0,41,80,537.3315899372101,80,107
83,our,120,0,41,80,542.7505214214325,80,107
84,basic,120,0,42,72,534.7064628601074,72,93
85,our,120,0,42,72,540.8270747661591,72,92
86,basic,120,0,43,97,532.1820867061615,97,99
87,our,120,0,43,97,531.6212117671967,97,99
88,basic,120,0,44,77,309.0518476963043,77,116
89,our,120,0,44,77,310.3438551425934,77,114
90,basic,120,0,45,88,306.37464785575867,88,97
91,our,120,0,45,88,306.9965708255768,88,98
92,basic,120,0,46,84,305.63800835609436,84,89
93,our,120,0,46,84,305.09750604629517,84,89
94,basic,120,0,47,78,306.77016377449036,78,95
95,our,120,0,47,78,305.53551602363586,78,96
96,basic,120,0,48,106,526.1284804344177,106,90
97,our,120,0,48,106,527.8429284095764,106,89
98,basic,120,0,49,92,527.864678144455,92,95
99,our,120,0,49,92,531.17001080513,92,95
100,basic,120,0,50,144,524.4246108531952,162,60
101,our,120,0,50,144,527.0811903476715,161,60
102,basic,120,0,51,135,530.7045910358429,150,65
103,our,120,0,51,135,535.9743361473083,149,65
104,basic,120,0,52,135,539.5408329963684,145,67
105,our,120,0,52,135,541.2688701152802,144,67
106,basic,120,0,53,154,524.0240592956543,171,54
107,our,120,0,53,154,521.9298167228699,166,54
108,basic,120,0,54,125,535.9923031330109,140,67
109,our,120,0,54,125,541.0309274196625,138,67
110,basic,120,0,55,155,531.1752848625183,171,61
111,our,120,0,55,155,521.5548176765442,172,61
112,basic,120,0,56,168,300.3352336883545,182,60
113,our,120,0,56,168,299.6241774559021,180,60
114,basic,120,0,57,147,299.9931721687317,162,61
115,our,120,0,57,147,300.44907450675964,162,61
116,basic,120,0,58,161,302.36075830459595,175,64
117,our,120,0,58,161,304.2898669242859,173,64
118,basic,120,0,59,172,301.3317325115204,188,59
119,our,120,0,59,172,303.0333161354065,188,59
120,basic,120,0,60,102,540.7908055782318,110,93
121,our,120,0,60,102,544.714387178421,110,93
122,basic,120,0,61,114,535.1680698394775,123,77
123,our,120,0,61,114,538.1972694396973,122,76
124,basic,120,0,62,100,541.9964163303375,106,88
125,our,120,0,62,100,542.471027135849,107,88
126,basic,120,0,63,112,530.3941960334778,123,79
127,our,120,0,63,112,533.6775217056274,118,79
128,basic,120,0,64,131,533.8100826740265,144,75
129,our,120,0,64,131,534.5519545078278,138,75
130,basic,120,0,65,124,529.0170457363129,137,75
131,our,120,0,65,124,361.9301612377167,134,75
132,basic,120,0,66,118,302.7343940734863,128,82
133,our,120,0,66,118,355.17823028564453,126,82
134,basic,120,0,67,97,527.1078627109528,105,79
135,our,120,0,67,97,528.1651561260223,105,79
136,basic,120,0,68,89,540.3792068958282,99,92
137,our,120,0,68,89,539.1020812988281,95,92
138,basic,120,0,69,118,537.4347286224365,125,80
139,our,120,0,69,118,541.67254114151,124,80
140,basic,120,0,70,95,539.8024501800537,99,122
141,our,120,0,70,95,535.611513376236,97,122
142,basic,120,0,71,103,534.7810244560242,113,104
143,our,120,0,71,103,539.121194601059,108,104
144,basic,120,0,72,96,531.9841170310974,104,95
145,our,120,0,72,96,531.2575373649597,101,95
146,basic,120,0,73,94,535.0792756080627,103,97
147,our,120,0,73,94,533.7401990890503,102,97
148,basic,120,0,74,104,534.1504418849945,108,92
149,our,120,0,74,104,535.5270280838013,110,92
150,basic,120,0,75,85,539.999226808548,91,104
151,our,120,0,75,85,547.8553552627563,88,104
152,basic,120,0,76,87,545.6845755577087,93,113
153,our,120,0,76,87,542.0677251815796,92,113
154,basic,120,0,77,87,535.9752521514893,91,114
155,our,120,0,77,87,538.2417838573456,90,114
156,basic,120,0,78,94,532.178852558136,102,106
157,our,120,0,78,94,538.7826545238495,100,106
158,basic,120,0,79,93,536.2315444946289,98,116
159,our,120,0,79,93,542.176641702652,98,116
160,basic,120,0,80,88,538.2339525222778,88,122
161,our,120,0,80,88,539.4522395133972,88,122
162,basic,120,0,81,94,541.4524078369141,94,131
163,our,120,0,81,94,481.30229139328003,94,131
164,basic,120,0,82,87,310.3310270309448,87,115
165,our,120,0,82,87,307.37452268600464,87,115
166,basic,120,0,83,87,300.846079826355,92,115
167,our,120,0,83,87,305.43311405181885,91,115
168,basic,120,0,84,114,510.55254220962524,114,126
169,our,120,0,84,114,522.7631461620331,114,126
170,basic,120,0,85,98,423.5554676055908,102,124
171,our,120,0,85,98,303.3556308746338,100,124
172,basic,120,0,86,80,345.573677778244,80,150
173,our,120,0,86,80,547.9670791625977,80,150
174,basic,120,0,87,80,534.7902348041534,82,146
175,our,120,0,87,80,542.6888604164124,80,146
176,basic,120,0,88,87,528.226274728775,90,110
177,our,120,0,88,87,333.70128560066223,88,110
178,basic,120,0,89,84,307.3331937789917,84,129
179,our,120,0,89,84,305.6541976928711,84,129
180,basic,120,0,90,111,295.9181730747223,111,133
181,our,120,0,90,111,333.81316804885864,111,132
182,basic,120,0,91,91,528.2161047458649,91,165
183,our,120,0,91,91,533.7290487289429,91,165
184,basic,120,0,92,99,532.7474162578583,99,132
185,our,120,0,92,99,539.4489345550537,99,131
186,basic,120,0,93,95,527.0664982795715,95,124
187,our,120,0,93,95,527.933153629303,95,124
188,basic,120,0,94,97,525.9705953598022,97,131
189,our,120,0,94,97,530.1275720596313,97,131
190,basic,120,0,95,92,516.9087462425232,92,156
191,our,120,0,95,92,527.4300103187561,92,156
192,basic,120,0,96,79,543.6527278423309,79,139
193,our,120,0,96,79,547.8937916755676,79,139
194,basic,120,0,97,114,531.656928062439,114,109
195,our,120,0,97,114,536.8648180961609,114,109
196,basic,120,0,98,77,536.010922908783,77,172
197,our,120,0,98,77,541.6931672096252,77,174
198,basic,120,0,99,66,540.1033797264099,66,193
199,our,120,0,99,66,544.3959405422211,66,193
200,basic,120,0,100,173,543.3458502292633,189,73
201,our,120,0,100,173,561.8372068405151,187,73
202,basic,120,0,101,158,548.9400174617767,173,71
203,our,120,0,101,158,561.0743463039398,174,71
204,basic,120,0,102,203,446.895405292511,223,66
205,our,120,0,102,203,436.77163553237915,219,66
206,basic,120,0,103,196,476.2728695869446,217,68
207,our,120,0,103,196,302.9367644786835,215,68
208,basic,120,0,104,211,301.2303330898285,237,68
209,our,120,0,104,211,304.13522458076477,234,68
210,basic,120,0,105,212,304.9349591732025,236,67
211,our,120,0,105,212,306.53033113479614,232,67
212,basic,120,0,106,163,300.2752847671509,182,71
213,our,120,0,106,163,304.1461751461029,179,71
214,basic,120,0,107,162,304.07987236976624,179,77
215,our,120,0,107,162,308.4800717830658,175,77
216,basic,120,0,108,173,298.0170428752899,188,77
217,our,120,0,108,173,302.82664036750793,186,77
218,basic,120,0,109,181,311.18773198127747,202,73
219,our,120,0,109,181,311.7113678455353,198,73
220,basic,120,0,110,138,471.58471727371216,151,88
221,our,120,0,110,138,443.8748457431793,150,88
222,basic,120,0,111,117,461.3234040737152,126,110
223,our,120,0,111,117,538.0575003623962,125,110
224,basic,120,0,112,136,528.6015000343323,145,98
225,our,120,0,112,136,534.4093496799469,144,98
226,basic,120,0,113,125,546.7008113861084,133,96
227,our,120,0,113,125,543.7364342212677,134,96
228,basic,120,0,114,162,339.5185053348541,177,87
229,our,120,0,114,162,308.70851588249207,175,87
230,basic,120,0,115,121,303.65680861473083,133,107
231,our,120,0,115,121,306.379380941391,130,107
232,basic,120,0,116,120,551.2076532840729,129,110
233,our,120,0,116,120,550.9907867908478,128,110
234,basic,120,0,117,119,553.3540062904358,130,113
235,our,120,0,117,119,556.7052719593048,128,113
236,basic,120,0,118,105,551.1516764163971,115,108
237,our,120,0,118,105,548.3400905132294,112,108
238,basic,120,0,119,143,529.7383508682251,152,103
239,our,120,0,119,143,533.7621722221375,148,103
240,basic,120,0,120,127,344.8025290966034,135,117
241,our,120,0,120,127,412.57719588279724,134,117
242,basic,120,0,121,89,546.9872765541077,93,155
243,our,120,0,121,89,545.0777134895325,91,155
244,basic,120,0,122,118,539.1264655590057,126,113
245,our,120,0,122,118,543.6403851509094,125,114
246,basic,120,0,123,112,540.8750331401825,119,125
247,our,120,0,123,112,546.1646118164062,118,125
248,basic,120,0,124,91,416.3274872303009,96,148
249,our,120,0,124,91,377.8252935409546,96,148
250,basic,120,0,125,99,305.91758918762207,107,125
251,our,120,0,125,99,309.71806049346924,104,125
252,basic,120,0,126,109,309.36704325675964,114,129
253,our,120,0,126,109,530.6183161735535,112,129
254,basic,120,0,127,94,543.899631023407,100,138
255,our,120,0,127,94,561.3444843292236,99,138
256,basic,120,0,128,85,306.0069627761841,91,146
257,our,120,0,128,85,304.7709686756134,89,146
258,basic,120,0,129,92,308.3115792274475,99,145
259,our,120,0,129,92,305.0709354877472,99,145
260,basic,120,0,130,85,309.25380849838257,91,184
261,our,120,0,130,85,307.8764822483063,90,184
262,basic,120,0,131,93,303.95626187324524,99,169
263,our,120,0,131,93,338.9556841850281,97,169
264,basic,120,0,132,88,306.19114565849304,90,165
265,our,120,0,132,88,305.557425737381,89,164
266,basic,120,0,133,88,309.0660207271576,94,151
267,our,120,0,133,88,307.0783197879791,93,151
268,basic,120,0,134,97,301.8525741100311,104,126
269,our,120,0,134,97,303.1070125102997,105,126
270,basic,120,0,135,91,318.5620937347412,91,166
271,our,120,0,135,91,306.9538400173187,91,166
272,basic,120,0,136,91,313.26104378700256,95,172
273,our,120,0,136,91,308.460866689682,93,172
274,basic,120,0,137,112,307.38221073150635,117,136
275,our,120,0,137,112,308.82140493392944,116,136
276,basic,120,0,138,101,308.8957848548889,101,146
277,our,120,0,138,101,309.337100982666,101,146
278,basic,120,0,139,81,533.6408252716064,85,167
279,our,120,0,139,81,529.3933267593384,85,167
280,basic,120,0,140,81,307.1326651573181,81,214
281,our,120,0,140,81,304.4525899887085,81,217
282,basic,120,0,141,75,308.1674711704254,75,229
283,our,120,0,141,75,307.8739433288574,75,230
284,basic,120,0,142,87,305.6024730205536,88,170
285,our,120,0,142,87,305.92850375175476,87,170
286,basic,120,0,143,82,538.7781057357788,82,222
287,our,120,0,143,82,538.8860244750977,82,223
288,basic,120,0,144,87,306.7950756549835,87,225
289,our,120,0,144,87,306.5392072200775,87,224
290,basic,120,0,145,97,307.29257678985596,97,191
291,our,120,0,145,97,305.43577766418457,97,192
292,basic,120,0,146,75,305.5268120765686,75,215
293,our,120,0,146,75,322.43408155441284,75,215
294,basic,120,0,147,126,295.401180267334,126,206
295,our,120,0,147,126,298.76440691947937,126,208
296,basic,120,0,148,109,527.9122958183289,109,197
297,our,120,0,148,109,532.7114117145538,109,199
298,basic,120,0,149,91,538.965470790863,91,200
299,our,120,0,149,91,349.01019763946533,91,201
300,basic,120,0,150,196,431.573486328125,218,81
301,our,120,0,150,196,534.3569095134735,213,81
302,basic,120,0,151,232,495.1981256008148,255,79
303,our,120,0,151,232,417.4566476345062,253,79
304,basic,120,0,152,234,535.9253664016724,259,80
305,our,120,0,152,234,543.262223482132,258,80
306,basic,120,0,153,200,388.6736967563629,218,83
307,our,120,0,153,200,521.325667142868,217,83
308,basic,120,0,154,200,508.2528555393219,218,83
309,our,120,0,154,200,503.9801287651062,216,83
310,basic,120,0,155,206,307.92370319366455,224,87
311,our,120,0,155,206,303.68811559677124,221,87
312,basic,120,0,156,186,425.28438210487366,201,88
313,our,120,0,156,186,561.9559965133667,201,88
314,basic,120,0,157,195,475.93875670433044,212,81
315,our,120,0,157,195,549.9513595104218,209,81
316,basic,120,0,158,205,481.5603058338165,224,82
317,our,120,0,158,205,477.97028040885925,222,82
318,basic,120,0,159,213,540.7934167385101,236,81
319,our,120,0,159,213,540.4152603149414,232,81
320,basic,120,0,160,140,308.99612188339233,152,128
321,our,120,0,160,140,310.4194345474243,150,128
322,basic,120,0,161,123,308.87226605415344,131,138
323,our,120,0,161,123,307.0936830043793,132,138
324,basic,120,0,162,108,506.7042212486267,116,142
325,our,120,0,162,108,535.5681726932526,115,142
326,basic,120,0,163,120,550.5278952121735,127,141
327,our,120,0,163,120,547.9397747516632,125,141
328,basic,120,0,164,129,552.0537564754486,138,122
329,our,120,0,164,129,554.9604017734528,139,122
330,basic,120,0,165,136,536.2322664260864,146,122
331,our,120,0,165,136,462.60996675491333,143,122
332,basic,120,0,166,146,413.4061803817749,159,122
333,our,120,0,166,146,307.9286320209503,158,122
334,basic,120,0,167,127,393.7688179016113,135,125
335,our,120,0,167,127,554.4362497329712,134,125
336,basic,120,0,168,134,305.50548815727234,146,116
337,our,120,0,168,134,305.26508498191833,145,116
338,basic,120,0,169,134,306.5744078159332,144,134
339,our,120,0,169,134,533.5682845115662,145,134
340,basic,120,0,170,138,524.3288831710815,143,146
341,our,120,0,170,138,527.8849420547485,144,145
342,basic,120,0,171,116,537.0394341945648,124,151
343,our,120,0,171,116,530.3068158626556,122,151
344,basic,120,0,172,101,539.2156887054443,105,177
345,our,120,0,172,101,370.91682529449463,104,177
346,basic,120,0,173,101,304.2832806110382,106,165
347,our,120,0,173,101,300.84174633026123,106,165
348,basic,120,0,174,118,304.01261854171753,123,163
349,our,120,0,174,118,303.6257543563843,124,163
350,basic,120,0,175,134,536.9207093715668,141,122
351,our,120,0,175,134,508.14476919174194,142,123
352,basic,120,0,176,118,535.2363955974579,126,143
353,our,120,0,176,118,518.438111782074,125,143
354,basic,120,0,177,106,306.6768362522125,110,155
355,our,120,0,177,106,340.91068863868713,112,155
356,basic,120,0,178,91,463.855055809021,96,190
357,our,120,0,178,91,542.1427607536316,95,190
358,basic,120,0,179,98,543.9672346115112,105,192
359,our,120,0,179,98,541.4368395805359,102,192
360,basic,120,0,180,88,306.2450911998749,89,231
361,our,120,0,180,88,426.3425409793854,88,231
362,basic,120,0,181,83,551.7590529918671,86,228
363,our,120,0,181,83,546.9805843830109,86,228
364,basic,120,0,182,85,510.1474485397339,89,204
365,our,120,0,182,85,399.19972038269043,88,205
366,basic,120,1,0,105,518.7068901062012,110,48
367,our,120,1,0,105,525.260491847992,111,48
368,basic,120,1,1,109,517.4092543125153,118,51
369,our,120,1,1,109,521.546882390976,114,51
370,basic,120,1,2,125,516.5448589324951,129,54
371,our,120,1,2,125,517.6622483730316,128,53
372,basic,120,1,3,97,522.9715616703033,101,50
373,our,120,1,3,97,523.9042966365814,102,50
374,basic,120,1,4,112,516.0990462303162,115,52
375,our,120,1,4,112,523.9514691829681,115,52
376,basic,120,1,5,84,512.7711794376373,85,52
377,our,120,1,5,84,292.90429425239563,86,52
378,basic,120,1,6,117,285.9270679950714,120,48
379,our,120,1,6,117,287.7516803741455,122,48
380,basic,120,1,7,109,285.136292219162,112,49
381,our,120,1,7,109,481.6787028312683,112,50
382,basic,120,1,8,112,511.29201769828796,119,51
383,our,120,1,8,112,517.7348659038544,121,51
384,basic,120,1,9,108,522.8067717552185,110,52
385,our,120,1,9,108,522.3155429363251,108,52
386,basic,120,1,10,87,523.9922895431519,91,67
387,our,120,1,10,87,527.153151512146,91,67
388,basic,120,1,11,75,527.8014583587646,77,65
389,our,120,1,11,75,530.735110282898,77,65
390,basic,120,1,12,92,525.1938180923462,94,68
391,our,120,1,12,92,527.9398262500763,97,68
392,basic,120,1,13,95,516.6675312519073,96,58
393,our,120,1,13,95,520.5552875995636,98,58
394,basic,120,1,14,103,516.0495729446411,108,59
395,our,120,1,14,103,525.0336015224457,106,59
396,basic,120,1,15,92,524.4700174331665,94,66
397,our,120,1,15,92,528.9337964057922,94,66
398,basic,120,1,16,90,518.1836745738983,92,62
399,our,120,1,16,90,482.26150608062744,92,62
400,basic,120,1,17,83,525.6751251220703,86,63
401,our,120,1,17,83,532.0203249454498,85,63
402,basic,120,1,18,94,522.6843886375427,97,61
403,our,120,1,18,94,473.1338369846344,97,61
404,basic,120,1,19,96,428.95371866226196,107,68
405,our,120,1,19,96,524.781093120575,98,69
406,basic,120,1,20,80,518.6262505054474,81,80
407,our,120,1,20,80,524.9499876499176,81,79
408,basic,120,1,21,88,509.484379529953,88,69
409,our,120,1,21,88,517.9988489151001,88,69
410,basic,120,1,22,100,517.2050278186798,100,83
411,our,120,1,22,100,454.6837627887726,100,83
412,basic,120,1,23,71,296.03634691238403,71,86
413,our,120,1,23,71,298.49387788772583,71,86
414,basic,120,1,24,84,507.68592286109924,85,84
415,our,120,1,24,84,411.0659110546112,84,84
416,basic,120,1,25,102,285.46931505203247,102,81
417,our,120,1,25,102,288.38099241256714,102,81
418,basic,120,1,26,93,287.2083423137665,93,75
419,our,120,1,26,93,290.0632290840149,93,76
420,basic,120,1,27,77,293.8918755054474,77,74
421,our,120,1,27,77,422.1456735134125,77,74
422,basic,120,1,28,86,287.23910331726074,86,79
423,our,120,1,28,86,326.8974940776825,86,78
424,basic,120,1,29,103,509.8495247364044,103,75
425,our,120,1,29,103,518.184469461441,103,75
426,basic,120,1,30,74,519.1326174736023,74,89
427,our,120,1,30,74,525.5195646286011,74,89
428,basic,120,1,31,107,504.4867444038391,107,83
429,our,120,1,31,107,366.826664686203,107,82
430,basic,120,1,32,95,515.9871838092804,95,74
431,our,120,1,32,95,523.2224299907684,95,75
432,basic,120,1,33,75,523.0797622203827,75,85
433,our,120,1,33,75,529.8629469871521,75,85
434,basic,120,1,34,74,528.306277513504,74,86
435,our,120,1,34,74,535.0829894542694,74,86
436,basic,120,1,35,90,522.0457000732422,90,81
437,our,120,1,35,90,526.0440928936005,90,77
438,basic,120,1,36,81,522.8399956226349,81,93
439,our,120,1,36,81,527.1719498634338,81,93
440,basic,120,1,37,90,511.0973048210144,90,91
441,our,120,1,37,90,517.9414772987366,90,90
442,basic,120,1,38,79,515.5755729675293,79,82
443,our,120,1,38,79,521.5407712459564,79,83
444,basic,120,1,39,77,518.7468361854553,77,98
445,our,120,1,39,77,527.3076369762421,77,99
446,basic,120,1,40,92,341.46994376182556,92,93
447,our,120,1,40,92,290.94550824165344,92,95
448,basic,120,1,41,80,291.8249397277832,80,107
449,our,120,1,41,80,295.66854214668274,80,107
450,basic,120,1,42,72,291.42378759384155,72,93
451,our,120,1,42,72,294.7084038257599,72,92
452,basic,120,1,43,97,291.54846596717834,97,94
453,our,120,1,43,97,293.2830686569214,97,94
454,basic,120,1,44,77,526.058295249939,77,112
455,our,120,1,44,77,539.2705316543579,77,114
456,basic,120,1,45,88,525.0985162258148,88,98
457,our,120,1,45,88,529.9297091960907,88,98
458,basic,120,1,46,84,520.0988609790802,84,89
459,our,120,1,46,84,528.0894100666046,84,88
460,basic,120,1,47,78,526.3302800655365,78,96
461,our,120,1,47,78,530.3459000587463,78,96
462,basic,120,1,48,106,482.1760206222534,106,88
463,our,120,1,48,106,470.10658407211304,106,89
464,basic,120,1,49,92,510.01461148262024,92,95
465,our,120,1,49,92,518.9125761985779,92,95
466,basic,120,1,50,144,467.073002576828,164,60
467,our,120,1,50,144,288.82927227020264,160,60
468,basic,120,1,51,135,291.5649380683899,148,65
469,our,120,1,51,135,337.7506973743439,145,65
470,basic,120,1,52,135,516.430572271347,145,67
471,our,120,1,52,135,528.6980848312378,145,67
472,basic,120,1,53,154,511.45129466056824,173,54
473,our,120,1,53,154,513.9031407833099,170,54
474,basic,120,1,54,125,519.7276103496552,137,67
475,our,120,1,54,125,525.9709231853485,138,67
476,basic,120,1,55,155,512.6130700111389,177,61
477,our,120,1,55,155,517.5370903015137,169,61
478,basic,120,1,56,168,509.4816882610321,179,60
479,our,120,1,56,168,518.0076711177826,179,60
480,basic,120,1,57,147,513.1333754062653,166,61
481,our,120,1,57,147,519.5673952102661,162,61
482,basic,120,1,58,161,518.130872964859,176,64
483,our,120,1,58,161,528.1868388652802,175,64
484,basic,120,1,59,172,517.2769100666046,188,59
485,our,120,1,59,172,525.261073589325,184,59
486,basic,120,1,60,102,526.2859983444214,110,93
487,our,120,1,60,102,526.3792533874512,110,93
488,basic,120,1,61,114,519.8315241336823,124,77
489,our,120,1,61,114,526.3080294132233,122,77
490,basic,120,1,62,100,526.001610994339,109,88
491,our,120,1,62,100,529.278879404068,105,88
492,basic,120,1,63,112,517.4828462600708,122,79
493,our,120,1,63,112,517.8168179988861,120,79
494,basic,120,1,64,131,522.9227976799011,143,75
495,our,120,1,64,131,530.1393110752106,143,75
496,basic,120,1,65,124,518.8612408638,136,75
497,our,120,1,65,124,528.4292771816254,131,75
498,basic,120,1,66,118,522.4239337444305,129,82
499,our,120,1,66,118,529.1316888332367,125,82
500,basic,120,1,67,97,517.8433668613434,104,79
501,our,120,1,67,97,527.7623159885406,104,79
502,basic,120,1,68,89,525.6529912948608,95,92
503,our,120,1,68,89,532.4512650966644,95,92
504,basic,120,1,69,118,527.3271994590759,127,80
505,our,120,1,69,118,535.041473865509,125,80
506,basic,120,1,70,95,520.3136010169983,99,121
507,our,120,1,70,95,419.3197946548462,97,122
508,basic,120,1,71,103,530.3677849769592,112,104
509,our,120,1,71,103,439.6940734386444,107,104
510,basic,120,1,72,96,516.1872613430023,102,95
511,our,120,1,72,96,397.89357686042786,99,95
512,basic,120,1,73,94,521.3436961174011,101,97
513,our,120,1,73,94,526.5983951091766,102,97
514,basic,120,1,74,104,520.4622642993927,110,92
515,our,120,1,74,104,524.4500572681427,110,92
